TRANSCRIPTION,EMOTION
" Well, if you had checked the web site it would have said.",fru
 If you had checked the website it would have said that you needed two forms of identification.,fru
" Well, maybe you should",fru
 Right. So maybe you should go home now and get your paperwork and come back.,fru
" I'm sorry sir but there's a lot of people waiting. So if you won't move out of the way, then I'm going to have to call security.",fru
" I'm sorry, sir, it's not my choice.",fru
 All right. Finally. Here you go.,fru
" Yea. I just want to get this done,",neu
 get my new license.,neu
" Um, no, I got my driver's license though.",neu
" Uh, sorry, I forgot them. I mean I've got to -",neu
 well is the dri-driver's license going to work?,neu
" Okay, so what are you saying? What-",fru
" What? I- You telling me I waited in that huge line to go and sit down and get my number called, like after",ang
 three hours and,ang
 Shouldn't they have like told us about that? I mean why - why would they make me go and wait three hours if I have got to go and do it again?,ang
" It's standard? I mean I don't work at the D.M.V. how am I supposed to know that, like, I stand in line, I get my",ang
" I filled out the application right, didn't I?",ang
 Okay. What about - no -- how about you hold that and I'll - I'll go and I can come back-,fru
 I've been waiting for three hours.,fru
 This is ridiculous. Come on,fru
" I cannot go back in that line. I've got stuff I need to do, I mean-",fru
" But my driver's license - I had to have my birth certificate to get my driver's license in the first place right, I mean this - here is my driver's license so",xxx
 That doesn't make any sense. Why?,fru
 You- shouldn't you have like a sign or something maybe like up on the counter when you get the applica- maybe on the application,ang
" What web- I didn't go to a website - why would I need to - it's the D.M.V.. You come to the D.M.V., you wait in line for three hours, and then you go home.",ang
 I waited in line now I'm ready to get my stuff and then go home.,fru
" God, oh my-",fru
 This is ridiculous.,fru
 I don't want you to go.,sad
" I'm going to miss you too; I don't know what I'm going to do here without you. It's going to be so lonely, and so hard.",sad
 I don't want to be a single mom.,sad
 but,sad
 It's dangerous; I mean how can you make sure that you'll,sad
 I hope so.,sad
 I hope so.,sad
 It's going to be really rough.,sad
 I'll send you lots of pictures.,sad
" Well, just promise me that you going to be safe.",sad
" I mean can't they put you in like, you know kitchen work or something where you won't get",sad
 It doesn't make any sense; I don't know why we have to be at war in the first place.,fru
" Will you write me letters, paper ones?",sad
" Our baby needs a dad; you can't leave. Okay, you can't disappear.",sad
 I'll miss you too.,sad
" I know, I know. I don't want to go either baby. I love you know. And I'm going to miss you a lot.",sad
" You won't be. I'll be back; I'll be back before you know it. All right, and",sad
 and,sad
" It's- It's dangerous anywhere, honey. I mean this is -this- I'm just going to go and we'll get it over with,",fru
" I'll come back we'll have, you know, some good benefits from being in the service and then we'll live - we'll live a happy life, then the rest of us, like the three of us.",xxx
 A little family.,xxx
 You gotta,xxx
" You gotta take care of our baby for me, alright?",sad
" I hope so, because I'm not going to be able to survive without all that. I don't know what I'm going to do.",sad
 I've never been - I've never been away from you for two weeks let alone a year.,sad
" No, it doesn't work that way",xxx
" but, I mean, I'm going to do whatever I can and get back here as fast as I can.",xxx
" I know, but it's not our decision, I guess, you know, I mean",xxx
 there's people that thought it was the right thing to do so now we have to- we have to do what we have to do for our country,sad
" and it'll work out you know, go there and do that. Yeah, I'll be back",neu
" Yeah, of course. I don't know if we'll have computers or anything like that you know, so probably my only option then.",xxx
" Yeah, I'll write you every day 'cause you're the only thing that's going to be on my mind.",xxx
" Our baby has a dad, alright. Daddy is going to be back soon.",sad
" I want you to, you know, take lots of video; pictures and I can see you when I get back or while I'm there. I'm going to miss you.",sad
 What? What? You look really happy what's going on?,exc
 Finally did what?,exc
" You did? Oh, my Gosh, I'm so proud of you.",xxx
" Oh, my Gosh. Well, and did",exc
 Did she say yes?,exc
 That's like the most definitive.,exc
" Oh, my gosh, wait so when did you decide to do this, I mean,",xxx
 I would have thought you would have told me that you were planning on doing this.,exc
" Yea, I guess so. Oh, my Gosh. Was she surprised?",exc
 Yeah.,xxx
 So what did you do?,xxx
" Oh, You did not.",exc
" Oh, my Gosh. that's so cute",exc
" That's so romantic. Oh, my Gosh. She must have died. That's like one of those things you write into a magazine about like my boyfriend did this. Oh my God.",exc
 She must have flipped out.,exc
 Right exactly because you can't say no in front of thousands of people. [LAUGHTER],exc
 Did you bring her up on stage too?,exc
" Oh, my Gosh, that's so cute.",exc
 Are your parents excited or...?,exc
" Yea, totally. So when is it going to happen?",xxx
" Ooh, that would be fun.",exc
" Do you think you'll get a house or something, like you guys are looking to buy some place or",xxx
 Yeah. [LAUGHTER],xxx
" Oh my Gosh. I cannot believe you're getting married, that is so cool.",exc
" Golly, it just makes me all like romantic inside, like I really want that to happen to me. [LAUGHTER]",exc
 Did you have a good ring? You better have had a good ring.,xxx
 Good. The ring makes all the difference.,xxx
" Oh, that's awesome.",xxx
" Yay, well congratulations, that's so cool. [BREATHING] I can't wait.",exc
" Oh, you're never going to believe it.",exc
" Well, I finally did it",exc
 I-I asked her to marry me.,xxx
" Yes, I know. [LAUGHTER]",xxx
" I'm so nervous you know, I'm-",xxx
" Yes, she said yes. [LAUGHTER] I know",exc
 I know Uhm- I can't believe it.  It's like-,xxx
" Well, yes, I wanted it you know I guess sort of as a surprise for everyone so",xxx
" Yes, yes. You know, she - she was like - I mean, she was happy, you know",exc
" I - I think it was about time, I don't know, maybe. You know what, it's been it's been long enough now.",exc
" Oh, well, it was -- you know, we were at this- at this concert and yeah",hap
 so I-I talked to some of the crew before hand and-,hap
 I-I did.,hap
" So I got the band to do something, you know, like towards the end of the song I got to go up on stage and, uh",xxx
" I know, so",hap
 I got to freak her out.,hap
" No, yes -- so",exc
" Yea, that way she was guaranteed that she could not say no.",hap
" No, but it was good.",exc
" Yes, yes. [LAUGHTER]",exc
" I know it was, I don't know I was really nervous but I'm really - I'm really glad.",exc
" Oh yes, they - they you know they love her and so I mean...",hap
" Well, we're thinking uh - we're thinking winter time, you know, we're going to do it in the winter and then maybe, you know, maybe",xxx
" I don't know either do a honeymoon like in the snow or fly down to like Australia, Southern Hemisphere, [GARBAGE] so we'll decide with that.",xxx
" Yea, yea, I'm not too sure where yet I guess you know, I kind of got to figure some stuff out here first",exc
 but like you know it's just - I guess we're just excited right now that we'll get to continue it together.,xxx
 I know.,exc
" Oh, it will, obviously you know. But I know it's something - I don't know, you never really think about it happening, like before hand.",hap
" Sure. Oh, yes.",hap
 You know I had my mom come along maybe help me out a little bit because she's got good taste. but,xxx
" Yes, well, Thanks, thanks. Thank you. yeah",exc
 Hah.,hap
 So how you feeling?,neu
" You've been doing a lot of work for it, right?",neu
" Right, so the fact you doing the best that you can is -",neu
" you know you shouldn't give yourself a hard time for that, it's the best you can.",neu
" Well, but you care about what you do, right?",neu
" I understand that it's so frustrating but I know that you're here because you really want it you know and, and uh",neu
" Well, I mean you're still here you've tried for this long so I think that says something all in itself.",neu
 You are persistence. I mean that's important. that's,neu
" Well, you're talented so keep that in mind, you know, you shouldn't give yourself too hard of a time.",neu
 I'm sorry.,sad
" That's- I mean. There are more factors then just whether you're good or not, you know what I mean like",neu
" and the fact that you know there is always different types of things and what kind of people they want in the office and whether it's male or female or you know what I mean, like things are out of your control.",neu
 So you should take that in consideration rather than giving yourself such a hard time.,neu
" It might be the latter I don't know because you're not the worst, I mean you're great, you very talented at what you do.",xxx
" You know and the fact you still here and still cooking, like it's good that you're thinking about it, that you're reconsidering.",neu
